model_name,roc_auc,pr_auc,precision,recall,f1,threshold
rf,0.6691215371443793,0.21619102213879476,0.1568972441622521,0.7223738663379413,0.25780096156867677,0.20999999999999996
logreg,0.6489445317267377,0.1993776640804561,0.14944076609434032,0.7035308620234216,0.2465174397976027,0.4499999999999999
