threshold,precision,recall,f1
0.05,0.11184204047466641,1.0,0.201183327133266
0.06,0.11200007892192648,0.9996477943118781,0.201431828464466
0.07,0.11229745255734717,0.9983270229814212,0.2018856669723382
0.08,0.11282731388229664,0.9963018402747205,0.20269967664788657
0.09,0.11363567694957247,0.9934841947697455,0.20394403875352468
0.09999999999999999,0.11475811890698767,0.9888174694021309,0.20564940713271987
0.10999999999999999,0.1162062922473504,0.9808928414193889,0.20779511476296622
0.12,0.11790159158580212,0.9692700537113674,0.21023079934684835
0.13,0.1203520986230904,0.9558862375627366,0.21378705973867407
0.13999999999999999,0.12320489861937496,0.9389803645328872,0.21782825394231556
0.14999999999999997,0.1264334340529324,0.9174077661354231,0.22223881233735762
0.15999999999999998,0.13042863569179358,0.8935458307651668,0.2276306049662412
0.16999999999999998,0.13498166493350117,0.868627278330545,0.2336542674766997
0.18,0.14011558653549214,0.8389539491062781,0.24012701933012426
0.19,0.14527543993879113,0.8025006603856653,0.24601514313093004
0.19999999999999996,0.15102573018080667,0.7649027031786564,0.25224675871481045
0.20999999999999996,0.1568972441622521,0.7223738663379413,0.25780096156867677
0.21999999999999997,0.16313765267740163,0.6797569780751959,0.26312650181495933
0.22999999999999998,0.16932561532307402,0.6336180329312319,0.26723609692693345
0.24,0.17623382089866357,0.5898564761820904,0.27138487714962833
0.24999999999999994,0.18350662045676708,0.5454785594787356,0.2746254100540828
0.25999999999999995,0.19186358754027927,0.5033019283261425,0.27781963109674596
0.26999999999999996,0.1995797516714422,0.4599806286871533,0.27837578599595014
0.27999999999999997,0.2060661684366942,0.4151624548736462,0.2754249664115895
0.29,0.21416433426629347,0.3773003434005459,0.27323449705085284
0.3,0.22059667240390132,0.338557717707141,0.267134470420676
0.30999999999999994,0.22948760330578513,0.30562648586774677,0.26214032172796614
0.31999999999999995,0.2396033515258667,0.27445628246896187,0.255848313223344
0.32999999999999996,0.25075501865340205,0.24856916439200494,0.24965730709705947
0.33999999999999997,0.2630819942315616,0.22488333186580964,0.24248753857108948
0.3499999999999999,0.2720933028736323,0.1992603680549441,0.2300498119345329
0.35999999999999993,0.28341046136586734,0.17795192392357137,0.21862829943747294
0.36999999999999994,0.2936521022258862,0.15681958263625959,0.20445413844564345
0.37999999999999995,0.3064142194744977,0.13964955534031875,0.1918587068287667
0.38999999999999996,0.31690777576853524,0.12344809368671304,0.1776820226855079
0.3999999999999999,0.33174603174603173,0.1104164832262041,0.16568672788531413
0.4099999999999999,0.3413868842171321,0.09579994716914678,0.1496149614961496
0.41999999999999993,0.35405998536942207,0.08523377652549088,0.13739266198282593
0.42999999999999994,0.36726804123711343,0.07528396583604825,0.12495432955791012
0.43999999999999995,0.38141683778234087,0.06542220656863608,0.11168733558812477
0.4499999999999999,0.3911483253588517,0.057585630007924625,0.10039143449228644
0.4599999999999999,0.40336134453781514,0.0507176190895483,0.09010559249120062
0.4699999999999999,0.41029900332225916,0.043497402483050104,0.07865615794920787
0.4799999999999999,0.44140625,0.03979924275777054,0.07301510378806235
0.48999999999999994,0.45537757437070936,0.03504446596812538,0.06508053307170306
0.49999999999999994,0.4609271523178808,0.030641894866602095,0.05746367239101717
0.5099999999999999,0.48307692307692307,0.02764814651756626,0.05230282335304406
0.5199999999999999,0.4918918918918919,0.024038038214317162,0.045836131631967765
0.5299999999999999,0.4989339019189765,0.020604032755128995,0.0395738203957382
0.5399999999999999,0.5123152709359606,0.018314695782336885,0.035365127943551816
0.5499999999999999,0.5294117647058824,0.015849255965483842,0.030777122339061297
0.5599999999999999,0.5422535211267606,0.013559918992691732,0.026458208057727
0.57,0.5527426160337553,0.01153473628599102,0.022597895463170606
0.58,0.5742574257425742,0.010213964955534031,0.02007094039276754
0.59,0.5542168674698795,0.008100730826802852,0.015968063872255488
0.6,0.553030303030303,0.006427753808224003,0.012707807468012882
0.61,0.5398230088495575,0.0053711367438584135,0.01063644289450741
0.62,0.5252525252525253,0.004578673945584221,0.009078212290502794
0.63,0.5,0.003522056881218632,0.0069948413045379035
0.6399999999999999,0.4714285714285714,0.002905696927005371,0.005775794171698608
0.6499999999999999,0.543859649122807,0.0027295940829444396,0.005431925705274224
0.6599999999999999,0.52,0.0022893369727921106,0.004558604365740335
0.6699999999999999,0.4782608695652174,0.0019371312846702474,0.0038586336928878367
0.6799999999999999,0.5,0.001761028440609316,0.003509695533912433
0.69,0.48484848484848486,0.0014088227524874527,0.0028094820017559264
0.7,0.5,0.0014088227524874527,0.002809728685573799
0.71,0.5172413793103449,0.001320771330456987,0.0026348146847005095
0.72,0.48,0.0010566170643655896,0.0021085925144965737
0.73,0.47058823529411764,0.0007044113762437263,0.001406717074028486
0.74,0.6,0.0005283085321827948,0.0010556875164951175
0.7499999999999999,0.5,0.00035220568812186317,0.0007039155301363836
0.7599999999999999,0.5,0.00035220568812186317,0.0007039155301363836
0.7699999999999999,0.3333333333333333,0.00017610284406093158,0.00035201971310393383
0.7799999999999999,0.25,8.805142203046579e-05,0.00017604084147522224
0.7899999999999999,0.5,8.805142203046579e-05,0.00017607183730962233
0.7999999999999999,1.0,8.805142203046579e-05,0.00017608733932030288
0.8099999999999999,0.0,0.0,0.0
0.82,0.0,0.0,0.0
0.83,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.8499999999999999,0.0,0.0,0.0
0.8599999999999999,0.0,0.0,0.0
0.8699999999999999,0.0,0.0,0.0
0.8799999999999999,0.0,0.0,0.0
0.8899999999999999,0.0,0.0,0.0
0.8999999999999999,0.0,0.0,0.0
0.9099999999999999,0.0,0.0,0.0
